trade_data_id,area,build-year,day,floor,main-num,name,price,road-name,si-gun-gu,sub-num,trade-type,year-and-month
114304,39.08,1997,7,10,202,송정한신,16000,경강로2539번길 8,강원도 강릉시 견소동,0,중개거래,202205
114305,84.945,1997,24,13,202,송정한신,26700,경강로2539번길 8,강원도 강릉시 견소동,0,중개거래,202205
114306,84.99,2005,2,14,289,송정해변신도브래뉴아파트,33800,경강로2539번길 22,강원도 강릉시 견소동,0,직거래,202205
114307,84.99,2005,19,3,289,송정해변신도브래뉴아파트,33700,경강로2539번길 22,강원도 강릉시 견소동,0,중개거래,202205
114308,84.99,2005,23,2,289,송정해변신도브래뉴아파트,30000,경강로2539번길 22,강원도 강릉시 견소동,0,직거래,202205
114309,59.99,2005,26,14,289,송정해변신도브래뉴아파트,28500,경강로2539번길 22,강원도 강릉시 견소동,0,중개거래,202205
114310,84.99,2005,28,14,289,송정해변신도브래뉴아파트,38000,경강로2539번길 22,강원도 강릉시 견소동,0,중개거래,202205
114311,84.99,2005,30,6,289,송정해변신도브래뉴아파트,32400,경강로2539번길 22,강원도 강릉시 견소동,0,중개거래,202205
114312,84.99,2005,30,6,289,송정해변신도브래뉴아파트,32400,경강로2539번길 22,강원도 강릉시 견소동,0,중개거래,202205
114313,49.85,1999,7,13,1750,교동1주공,22000,가작로 78,강원도 강릉시 교동,0,중개거래,202205
114314,84.84,1999,23,4,1750,교동1주공,36150,가작로 78,강원도 강릉시 교동,0,중개거래,202205
114315,84.84,1999,27,3,1750,교동1주공,36800,가작로 78,강원도 강릉시 교동,0,중개거래,202205
114316,99.98,1999,16,3,1767,교동2현대,47500,교동광장로 138-15,강원도 강릉시 교동,0,중개거래,202205
114317,99.98,1999,20,1,1767,교동2현대,38000,교동광장로 138-15,강원도 강릉시 교동,0,직거래,202205
114318,59.86,2002,1,3,1766,교동3주공,30500,교동광장로 138-12,강원도 강릉시 교동,0,중개거래,202205
114319,59.84,2002,7,9,1766,교동3주공,30500,교동광장로 138-12,강원도 강릉시 교동,0,중개거래,202205
114320,59.84,2002,16,1,1766,교동3주공,28500,교동광장로 138-12,강원도 강릉시 교동,0,중개거래,202205
114321,59.84,2002,28,1,1766,교동3주공,33000,교동광장로 138-12,강원도 강릉시 교동,0,중개거래,202205
114322,123.7566,2006,21,15,357,교동이-편한세상,52900,종합운동장길 92,강원도 강릉시 교동,0,중개거래,202205
114323,51.66,1987,11,1,37,교동임대,8500,명륜로 109-4,강원도 강릉시 교동,11,중개거래,202205
114324,48.6,1987,9,5,318,매화임대,12100,율곡로2968번길 26,강원도 강릉시 교동,4,중개거래,202205
114325,59.58,1999,28,4,1773,부영1,24800,정원로 53-4,강원도 강릉시 교동,0,중개거래,202205
114326,84.93,2001,3,8,1780,부영3차,35300,하슬라로 124,강원도 강릉시 교동,0,중개거래,202205
114327,84.93,2001,19,2,1780,부영3차,34800,하슬라로 124,강원도 강릉시 교동,0,중개거래,202205
114328,84.93,2001,27,9,1762,부영5,40100,교동광장로 163,강원도 강릉시 교동,0,중개거래,202205
114329,84.9763,2003,4,12,1775,부영6,43000,정원로 53-9,강원도 강릉시 교동,0,중개거래,202205
114330,59.987,2003,13,14,1775,부영6,31500,정원로 53-9,강원도 강릉시 교동,0,중개거래,202205
114331,84.82,1990,20,3,707,삼정,17500,화부산로119번길 15,강원도 강릉시 교동,53,중개거래,202205
114332,60.43,1979,2,2,175,오뚜기,8000,율곡로2874번길 5,강원도 강릉시 교동,1,직거래,202205
114333,53.19,1979,19,2,175,오뚜기,8400,율곡로2874번길 5,강원도 강릉시 교동,1,직거래,202205
114334,84.95,1992,4,13,1034,정아타워맨션,14300,화부산로 29,강원도 강릉시 교동,0,중개거래,202205
114335,84.95,1992,10,2,1034,정아타워맨션,16500,화부산로 29,강원도 강릉시 교동,0,중개거래,202205
114336,84.98,1997,6,15,46,한신,27700,명륜로 95-7,강원도 강릉시 교동,1,중개거래,202205
114337,59.84,1997,17,18,46,한신,24000,명륜로 95-7,강원도 강릉시 교동,1,중개거래,202205
114338,71.175,1992,31,15,828,현대,17000,옛강일길 41,강원도 강릉시 교동,19,중개거래,202205
114339,84.08,1992,26,9,183,삼익그린맨션,19100,홍제로 7-17,강원도 강릉시 남문동,2,직거래,202205
114340,41.18,1988,3,5,616,강부2,7200,관대길 63,강원도 강릉시 내곡동,0,중개거래,202205
114341,41.18,1988,11,2,616,강부2,8400,관대길 63,강원도 강릉시 내곡동,0,중개거래,202205
114342,41.18,1988,12,5,616,강부2,5700,관대길 63,강원도 강릉시 내곡동,0,중개거래,202205
114343,24.795,1988,18,5,616,강부2,4000,관대길 63,강원도 강릉시 내곡동,0,중개거래,202205
114344,24.795,1988,21,5,616,강부2,3950,관대길 63,강원도 강릉시 내곡동,0,중개거래,202205
114345,41.18,1988,29,4,616,강부2,6950,관대길 63,강원도 강릉시 내곡동,0,중개거래,202205
114346,72.01,1993,18,3,127,남산삼익,18000,남산초교길 43-6,강원도 강릉시 내곡동,0,중개거래,202205
114347,84.48,1993,30,3,127,남산삼익,25000,남부로125번길 37,강원도 강릉시 내곡동,0,중개거래,202205
114348,59.84,1998,27,15,469,내곡동현대,20000,범일로 645,강원도 강릉시 내곡동,0,직거래,202205
114349,39.3,1990,23,4,75,내곡시영,5300,남산초교길 22,강원도 강릉시 내곡동,4,중개거래,202205
114350,39.69,1989,3,5,623,내곡주공,5000,관대길16번길 6,강원도 강릉시 내곡동,0,직거래,202205
114351,39.69,1989,30,1,623,내곡주공,9700,관대길16번길 6,강원도 강릉시 내곡동,0,중개거래,202205
114352,59.97,1997,8,13,476,내곡한라,16700,강변로 114,강원도 강릉시 내곡동,0,중개거래,202205
114353,84.95,1997,19,10,476,내곡한라,28000,강변로 114,강원도 강릉시 내곡동,0,중개거래,202205
114354,43.38,1996,8,6,618,고합,10500,남부로125번길 23,강원도 강릉시 노암동,1,중개거래,202205
114355,32.04,1996,27,3,618,고합,6000,남부로125번길 23,강원도 강릉시 노암동,1,중개거래,202205
114356,32.04,1996,31,1,618,고합,5500,남부로125번길 23,강원도 강릉시 노암동,1,직거래,202205
114357,49.815,1993,10,6,367,노암영진,7300,노암등길46번길 11,강원도 강릉시 노암동,0,중개거래,202205
114358,59.976,1994,11,13,390,노암한라,15500,노암길42번길 28,강원도 강릉시 노암동,0,중개거래,202205
114359,48.32,1989,30,3,627,대림임대,7400,임영로25번길 13,강원도 강릉시 노암동,2,중개거래,202205
114360,59.944,1998,13,6,711,신화,15000,강변로 270,강원도 강릉시 노암동,0,중개거래,202205
114361,114.6085,2009,30,10,844,양우내안애,44000,강변로 328-8,강원도 강릉시 노암동,0,중개거래,202205
114362,44.575,1994,9,4,366,영진노암2차,8000,남부로163번길 20,강원도 강릉시 노암동,0,중개거래,202205
114363,49.525,1994,13,6,366,영진노암2차,7750,남부로163번길 20,강원도 강릉시 노암동,0,중개거래,202205
114364,109.495,2020,19,3,1065,강릉송정신원아침도시,66000,경강로 2498,강원도 강릉시 송정동,0,중개거래,202205
114365,75.9722,2020,20,2,1065,강릉송정신원아침도시,47000,경강로 2498,강원도 강릉시 송정동,0,중개거래,202205
114366,84.9955,2019,1,16,1063,강릉송정한신더휴,54500,경강로 2448,강원도 강릉시 송정동,0,중개거래,202205
114367,155.837,2007,27,5,1061,경포대신도브래뉴로얄카운티,68000,해안로 93-8,강원도 강릉시 송정동,0,중개거래,202205
114368,72.86,1992,2,10,940,삼우은성,17000,남강초교1길 55,강원도 강릉시 송정동,0,직거래,202205
114369,84.96,1992,11,12,940,삼우은성,25000,남강초교1길 55,강원도 강릉시 송정동,0,중개거래,202205
114370,84.93,2019,3,9,1064,송정아이파크,58500,경강로 2511,강원도 강릉시 송정동,0,중개거래,202205
114371,117.69,2019,15,13,1064,송정아이파크,71000,경강로 2511,강원도 강릉시 송정동,0,중개거래,202205
114372,117.69,2019,15,13,1064,송정아이파크,71000,경강로 2511,강원도 강릉시 송정동,0,중개거래,202205
114373,117.69,2019,15,13,1064,송정아이파크,71000,경강로 2511,강원도 강릉시 송정동,0,중개거래,202205
114374,75.98,2019,28,10,1064,송정아이파크,52000,경강로 2511,강원도 강릉시 송정동,0,중개거래,202205
114375,30.24,1999,3,11,305,삼우그린,6250,연주로 132,강원도 강릉시 연곡면 영진리,2,중개거래,202205
114376,30.24,1999,7,8,305,삼우그린,6200,연주로 132,강원도 강릉시 연곡면 영진리,2,중개거래,202205
114377,30.24,1999,16,5,305,삼우그린,6250,연주로 132,강원도 강릉시 연곡면 영진리,2,중개거래,202205
114378,43.2,1999,30,6,305,삼우그린,8300,연주로 132,강원도 강릉시 연곡면 영진리,2,중개거래,202205
114379,43.2,1999,30,6,305,삼우그린,8300,연주로 132,강원도 강릉시 연곡면 영진리,2,중개거래,202205
114380,59.987,2005,23,11,11,영진부영1,18500,영진3길 38,강원도 강릉시 연곡면 영진리,0,중개거래,202205
114381,59.987,2005,24,8,11,영진부영1,17750,영진3길 38,강원도 강릉시 연곡면 영진리,0,중개거래,202205
114382,84.8923,2005,11,4,12,영진부영2,26000,영진3길 43,강원도 강릉시 연곡면 영진리,0,중개거래,202205
114383,84.8923,2005,16,7,12,영진부영2,27500,영진3길 43,강원도 강릉시 연곡면 영진리,0,중개거래,202205
114384,84.9157,2008,10,8,380,영진부영3,28000,영진3길 15,강원도 강릉시 연곡면 영진리,0,중개거래,202205
114385,84.9157,2008,11,4,380,영진부영3,33000,영진3길 15,강원도 강릉시 연곡면 영진리,0,중개거래,202205
114386,36.3455,2019,19,16,381,영진코아루비치테라스,21500,홍질목길 12,강원도 강릉시 연곡면 영진리,0,중개거래,202205
114387,36.3455,2019,19,16,381,영진코아루비치테라스,21500,홍질목길 12,강원도 강릉시 연곡면 영진리,0,중개거래,202205
114388,36.5333,2019,31,4,381,영진코아루비치테라스,16500,홍질목길 12,강원도 강릉시 연곡면 영진리,0,중개거래,202205
114389,72.69,1991,21,5,353,정우1,6700,영진길 20-2,강원도 강릉시 연곡면 영진리,10,중개거래,202205
114390,109.791,2021,17,15,781,강릉유천유승한내들더퍼스트,85000,선수촌로 79-14,강원도 강릉시 유천동,0,중개거래,202205
114391,84.77,2018,25,12,778,엘에이치선수촌8단지,64000,선수촌로 113,강원도 강릉시 유천동,0,중개거래,202205
114392,84.77,2018,30,16,778,엘에이치선수촌8단지,60000,선수촌로 113,강원도 강릉시 유천동,0,중개거래,202205
114393,84.77,2018,30,16,778,엘에이치선수촌8단지,62000,선수촌로 113,강원도 강릉시 유천동,0,중개거래,202205
114394,84.94,2014,5,13,711,강릉더샵,44000,입암로29번길 11,강원도 강릉시 입암동,0,중개거래,202205
114395,84.94,2014,7,4,711,강릉더샵,36000,입암로29번길 11,강원도 강릉시 입암동,0,직거래,202205
114396,157.22,2007,10,3,321,강릉입암동금호어울림,54000,성덕로 328-15,강원도 강릉시 입암동,0,중개거래,202205
114397,84.77,2007,14,14,321,강릉입암동금호어울림,39950,성덕로 328-15,강원도 강릉시 입암동,0,중개거래,202205
