trade_data_id,address,area,build-year,day,floor,main-num,name,price,sub-num,trade-type,year-and-month
255288,강원도 강릉시 경강로2539번길 22,84.99,2005,27,12,289,송정해변신도브래뉴아파트,34100,0,직거래,202212
255289,강원도 강릉시 화부산로131번길 6,59.49,1985,21,4,797,강원,8300,1,중개거래,202212
255290,강원도 강릉시 교동광장로 138-12,59.74,2002,28,13,1766,교동3주공,26500,0,중개거래,202212
255291,강원도 강릉시 수리골길17번길 21,59.84,1997,7,5,18,교동대림,10000,16,직거래,202212
255292,강원도 강릉시 옛강일길 28,40.86,1988,3,2,834,덕진,6700,0,직거래,202212
255293,강원도 강릉시 정원로 53-4,59.58,1999,21,13,1773,부영1,26000,0,직거래,202212
255294,강원도 강릉시 하슬라로 124,84.93,2001,26,3,1780,부영3차,28000,0,중개거래,202212
255295,강원도 강릉시 화부산로99번길 6-3,80.65,1991,28,2,758,태화맨션,18500,27,중개거래,202212
255296,강원도 강릉시 범일로 645,59.84,1998,20,16,469,내곡동현대,17500,0,중개거래,202212
255297,강원도 강릉시 관대길16번길 6,39.69,1989,8,2,623,내곡주공,9400,0,중개거래,202212
255298,강원도 강릉시 강변로 114,84.95,1997,1,12,476,내곡한라,28000,0,중개거래,202212
255299,강원도 강릉시 남부로125번길 23,43.38,1996,9,3,618,고합,12000,1,중개거래,202212
255300,강원도 강릉시 노암길42번길 28,59.976,1994,10,5,390,노암한라,13000,0,중개거래,202212
255301,강원도 강릉시 경강로 2511,75.98,2019,6,10,1064,송정아이파크,43200,0,중개거래,202212
255302,강원도 강릉시 연곡면 영진2길 20,59.85,1994,2,3,335,삼천리,8000,6,중개거래,202212
255303,강원도 강릉시 연곡면 홍질목길 12,25.4052,2019,27,8,381,영진코아루비치테라스,11400,0,중개거래,202212
255304,강원도 강릉시 월대산로 57,59.85,1992,5,4,92,녹원,13200,1,중개거래,202212
255305,강원도 강릉시 월대산로 47,39.85,2001,17,5,90,은하,6300,5,중개거래,202212
255306,강원도 강릉시 강변로 508,39.3,1990,19,4,49,입암2주공,12600,0,중개거래,202212
255307,강원도 강릉시 성덕포남로 39,59.99,1998,6,2,709,입암6주공,15800,1,중개거래,202212
255308,강원도 강릉시 성덕포남로 39,49.62,1998,13,2,709,입암6주공,14800,1,중개거래,202212
255309,강원도 강릉시 성덕포남로 39,49.62,1998,22,4,709,입암6주공,14400,1,중개거래,202212
255310,강원도 강릉시 용지로 19,84.904,1998,11,4,440,입암현대,25000,0,중개거래,202212
255311,강원도 강릉시 강변로410번길 31-5,39.348,1998,24,11,506,태평양임대,6500,5,중개거래,202212
255312,강원도 강릉시 경포로463번안길 14,59.785,1996,30,3,4,경포현대,26000,4,중개거래,202212
255313,강원도 강릉시 주문진읍 매맥이아랫길 24,59.975,1994,12,1,18,동방타워맨션,7400,6,중개거래,202212
255314,강원도 강릉시 주문진읍 매맥이아랫길 24,46.65,1994,13,13,18,동방타워맨션,7500,6,중개거래,202212
255315,강원도 강릉시 주문진읍 매맥이윗길 15,84.8819,2015,1,1,1261,센텀파크디오션(1단지),20000,0,중개거래,202212
255316,강원도 강릉시 주문진읍 매맥이길 14-3,71.1,1991,15,1,44,소훈,10000,1,중개거래,202212
255317,강원도 강릉시 주문진읍 매맥이윗길 12-4,49.89,1991,5,3,430,유성,4000,1,직거래,202212
255318,강원도 강릉시 주문진읍 매맥이윗길 12-4,49.89,1991,5,4,430,유성,7200,1,중개거래,202212
255319,강원도 강릉시 주문진읍 매맥이윗길 12-4,49.89,1991,17,4,430,유성,8000,1,중개거래,202212
255320,강원도 강릉시 죽헌길85번길 25,33.471,1998,9,1,334,덕원임대,6000,0,중개거래,202212
255321,강원도 강릉시 연당길 75,84.98,1997,3,7,149,동부,25000,1,중개거래,202212
255322,강원도 강릉시 초당원길 21,29.82,1988,8,1,135,이화해변아파트(B~D동),7000,1,중개거래,202212
255323,강원도 강릉시 하평3길 37,58.87,1995,21,14,1293,일송,16100,1,중개거래,202212
255324,강원도 강릉시 산양큰길 37,47.01,1989,1,4,1200,포남2주공,15300,0,중개거래,202212
255325,강원도 강릉시 하슬라로20번길 3,84.56,1991,8,5,990,서일빌라,15700,15,중개거래,202212
255326,강원도 강릉시 선수촌로 10,59.78,2018,13,9,1044,엘에이치미디어촌6단지,30000,0,중개거래,202212
255327,강원도 강릉시 선수촌로 10,59.98,2018,14,23,1044,엘에이치미디어촌6단지,30000,0,중개거래,202212
255328,강원도 강릉시 선수촌로 10,59.78,2018,17,12,1044,엘에이치미디어촌6단지,30000,0,중개거래,202212
255329,강원도 강릉시 선수촌로 10,59.78,2018,17,17,1044,엘에이치미디어촌6단지,30000,0,중개거래,202212
255330,강원도 강릉시 선수촌로 55,84.9871,2016,19,19,1037,우미린아파트,46000,0,중개거래,202212
255331,강원도 고성군 간성읍 수성로 126-5,39.6,1998,16,2,483,간성대명,6400,1,중개거래,202212
255332,강원도 고성군 간성읍 남천길 24,75.3428,2021,1,2,620,간성스위트엠센트럴,23000,0,중개거래,202212
255333,강원도 고성군 거진읍 거탄진로 21,56.13,1989,31,5,428,동진,6100,5,중개거래,202212
255334,강원도 고성군 토성면 천진7길 29,84.9657,2021,17,24,476,고성천진한신더휴,44000,0,중개거래,202212
255335,강원도 동해시 단봉길 16,31.5,1998,16,3,24,성협5차,3800,4,중개거래,202212
255336,강원도 동해시 청운1길 29,59.3575,1996,5,7,442,대동3차,9300,0,직거래,202212
255337,강원도 동해시 청운1길 29,45,1996,15,13,442,대동3차,5500,0,직거래,202212
255338,강원도 동해시 청운1길 29,59.3575,1996,26,4,442,대동3차,9300,0,중개거래,202212
255339,강원도 동해시 효자남길 9,134.98,2007,1,2,442,북삼코아루,34000,0,중개거래,202212
255340,강원도 동해시 효자남길 33-20,74.3567,2018,7,20,451,북삼하우스디아파트,28300,0,중개거래,202212
255341,강원도 동해시 효자남길 33-20,74.3567,2018,7,20,451,북삼하우스디아파트,28300,0,직거래,202212
255342,강원도 동해시 지리골길 36,57.52,1991,9,3,233,강경,5300,67,중개거래,202212
255343,강원도 동해시 동호3길 47,59.095,1991,13,3,516,삼화,3000,1,직거래,202212
255344,강원도 동해시 부곡4길 26,61.56,1987,12,4,9,동성,4200,2,중개거래,202212
255345,강원도 동해시 부곡3길 22,41.77,1986,16,5,112,삼정(다라),3000,0,직거래,202212
255346,강원도 동해시 부곡4길 10,49.89,1991,7,5,31,삼화미성,4500,2,중개거래,202212
255347,강원도 동해시 부곡2길 26,35.045,1995,24,8,111,유존,3800,1,중개거래,202212
255348,강원도 동해시 해안로 449,108.8,1996,10,11,5,일정골든타워,18700,82,중개거래,202212
255349,강원도 동해시 단봉길 39,78.86,2020,5,15,327,e편한세상동해,27500,0,직거래,202212
255350,강원도 동해시 전천로 270,47.01,1989,5,1,151,북평주공2차,4000,5,중개거래,202212
255351,강원도 동해시 효자로 572-1,60,2012,12,14,1100,아름다운아침,9000,0,중개거래,202212
255352,강원도 동해시 초원2길 5,46.29,1996,21,5,260,범주성지,12000,2,중개거래,202212
255353,강원도 동해시 전천로 175-24,49.275,1996,24,13,302,강변,4930,6,중개거래,202212
255354,강원도 동해시 배골길 32-4,75.96,2018,1,14,751,동해아이파크,27500,0,중개거래,202212
255355,강원도 동해시 배골길 32-4,59.95,2018,13,7,751,동해아이파크,23200,0,중개거래,202212
255356,강원도 동해시 배골길 32-4,84.98,2018,13,2,751,동해아이파크,31700,0,중개거래,202212
255357,강원도 동해시 이원길 180-2,49.62,1999,5,15,155,이도1주공,6550,0,중개거래,202212
255358,강원도 동해시 월평로 49,41.94,2007,2,3,433,동해규수방,3000,31,중개거래,202212
255359,강원도 동해시 동굴로 20,49.94,1994,28,3,1004,시영3차,4900,1,직거래,202212
255360,강원도 동해시 항골길 65,64.7915,2020,19,16,1111,천곡금호어울림라포레,22500,0,중개거래,202212
255361,강원도 동해시 천곡로 20,43.97,1983,23,1,1080,천곡주공1차,7800,0,직거래,202212
255362,강원도 동해시 동굴로 61-19,59.3,1985,17,4,306,천곡주공3차,9000,0,중개거래,202212
255363,강원도 동해시 샘실1길 5,39.6,1989,27,4,415,천곡주공4차,7300,0,중개거래,202212
255364,강원도 동해시 천곡로 7,68.32,1990,12,8,791,한양1차,9200,0,중개거래,202212
255365,강원도 동해시 천곡로 15,49.81,1991,15,10,794,한양2차,7000,0,직거래,202212
255366,강원도 동해시 평원로 115,59.4026,2010,2,7,449,동해하나리움,17400,0,중개거래,202212
255367,강원도 동해시 평원로 115,59.4026,2010,2,5,449,동해하나리움,17400,0,중개거래,202212
255368,강원도 동해시 평원로 107,84.9792,2010,23,1,450,엘리시아,23000,0,직거래,202212
255369,강원도 동해시 양지길 20-2,84.9151,2013,28,4,480,동아더프라임1단지,19900,0,중개거래,202212
255370,강원도 동해시 양지길 20-1,59.9798,2013,2,5,481,동아더프라임2단지,14300,0,중개거래,202212
255371,강원도 동해시 양지1길 21,52.41,1992,27,5,362,유존양지,3000,34,중개거래,202212
255372,강원도 삼척시 하실길 72,84.6585,2018,8,28,793,e편한세상삼척교동,28700,0,중개거래,202212
255373,강원도 삼척시 하실길 72,84.2922,2018,17,15,793,e편한세상삼척교동,28500,0,중개거래,202212
255374,강원도 삼척시 정상로 81,59.85,2003,9,6,757,교동청솔2차,8900,0,중개거래,202212
255375,강원도 삼척시 정상로 81,59.85,2003,14,7,757,교동청솔2차,9000,0,중개거래,202212
255376,강원도 삼척시 정상로 81,59.85,2003,15,5,757,교동청솔2차,8200,0,중개거래,202212
255377,강원도 삼척시 동해대로 4273,59.83,1996,20,5,501,동부,8300,5,직거래,202212
255378,강원도 삼척시 정상로 90,59.895,1998,8,9,745,신동아,10900,1,중개거래,202212
255379,강원도 삼척시 대학로 83,45.03,2014,8,5,659,우평아트리움,11050,0,중개거래,202212
255380,강원도 삼척시 교동로 97,84.92,2014,13,4,781,코아루타워,27700,0,중개거래,202212
255381,강원도 삼척시 남양안길 52,49.98,1991,20,1,344,진주,4000,2,직거래,202212
255382,강원도 삼척시 남양안길 63-14,36.54,1986,9,2,347,한흥2,4800,10,중개거래,202212
255383,강원도 삼척시 대학로 39,54.56,1991,17,8,144,경남,7300,2,중개거래,202212
255384,강원도 삼척시 도계읍 도계대한길 72,84.983,2003,2,5,424,대한뷰티,6700,0,직거래,202212
255385,강원도 삼척시 도계읍 도계대한길 72,59.96,2003,2,8,424,대한뷰티,4600,0,직거래,202212
255386,강원도 삼척시 도계읍 도계대한길 72,84.983,2003,8,9,424,대한뷰티,6500,0,직거래,202212
255387,강원도 삼척시 마달1길 75,29.76,1995,6,4,53,누가,2600,4,중개거래,202212
255388,강원도 삼척시 마달1길 75,27.18,1995,22,4,53,누가,2480,4,직거래,202212
255389,강원도 삼척시 마달1길 75,29.76,1995,22,5,53,누가,2420,4,직거래,202212
255390,강원도 삼척시 동해대로 4122-20,27.36,1995,9,7,356,강부3차,3850,2,중개거래,202212
255391,강원도 삼척시 동해대로 4122-20,27.36,1995,20,14,356,강부3차,3100,2,직거래,202212
255392,강원도 삼척시 청석로 78,39.87,1998,1,3,457,석미,4500,3,중개거래,202212
255393,강원도 삼척시 청석로 78,56.97,1998,12,14,457,석미,7900,3,중개거래,202212
255394,강원도 삼척시 청석로 78,56.97,1998,15,13,457,석미,8550,3,중개거래,202212
255395,강원도 삼척시 동해대로 4025-10,49.94,1992,9,1,455,영진(라),4000,2,직거래,202212
255396,강원도 삼척시 청석로 64,59.85,2002,8,15,457,청솔1차,8800,1,직거래,202212
255397,강원도 삼척시 청석로 64,59.85,2002,20,13,457,청솔1차,9500,1,중개거래,202212
255398,강원도 삼척시 청석로 64,59.85,2002,20,13,457,청솔1차,9500,1,직거래,202212
255399,강원도 속초시 미시령로 3373-7,30.21,1996,8,7,781,계명,5750,12,중개거래,202212
255400,강원도 속초시 미시령로 3373-7,30.21,1996,20,5,781,계명,5950,12,중개거래,202212
255401,강원도 속초시 동해대로 4284,84.9976,2011,2,15,1029,남광하우스토리,31000,0,직거래,202212
255402,강원도 속초시 미시령로3337번길 10,39.8354,2000,20,5,783,대명늘푸른,9850,0,중개거래,202212
255403,강원도 속초시 미시령로3359번길 15,60,1997,1,10,781,동부,16150,1,중개거래,202212
255404,강원도 속초시 미시령로3359번길 15,60,1997,15,8,781,동부,17000,1,중개거래,202212
255405,강원도 속초시 만천4길 1,84.93,1991,1,14,767,럭키설악1,16300,224,직거래,202212
255406,강원도 속초시 만천4길 1,76.39,1991,14,3,767,럭키설악1,12000,224,중개거래,202212
255407,강원도 속초시 만천4길 1,84.93,1991,18,9,767,럭키설악1,17500,224,중개거래,202212
255408,강원도 속초시 만천4길 1,84.93,1991,19,10,767,럭키설악1,16500,224,직거래,202212
255409,강원도 속초시 미시령로 3409,128.62,1992,15,4,620,럭키설악2,23000,13,중개거래,202212
255410,강원도 속초시 미시령로3337번길 20,118.0531,2006,26,11,1027,명지미래힐,31500,0,중개거래,202212
255411,강원도 속초시 밤골3길 27,43.26,1995,20,2,924,삼호,8500,0,중개거래,202212
255412,강원도 속초시 번영로43번길 52,39.69,1990,14,3,898,주공2,16500,0,중개거래,202212
255413,강원도 속초시 먹거리길 17,41.85,1993,1,11,961,주공3,9500,1,직거래,202212
255414,강원도 속초시 먹거리길 17,41.85,1993,8,9,961,주공3,10500,1,중개거래,202212
255415,강원도 속초시 수복로 174,45.2346,2011,10,17,630,생모리츠,21500,0,중개거래,202212
255416,강원도 속초시 수복로 174,65.9236,2011,29,7,630,생모리츠,26000,0,중개거래,202212
255417,강원도 속초시 번영로67번길 25,59.895,1992,2,5,625,속초대명2,12700,0,중개거래,202212
255418,강원도 속초시 번영로129번길 22,114.7859,2017,14,12,596,e편한세상영랑호,57000,0,중개거래,202212
255419,강원도 속초시 영랑호반길 103,59.93,1997,19,13,512,대명영랑호,16500,0,중개거래,202212
255420,강원도 속초시 온정로1길 11-8,84.8533,2009,14,14,1568,대광로제비앙,23000,0,직거래,202212
255421,강원도 속초시 소평로 162,166.535,1996,5,15,1499,부영3,41000,0,중개거래,202212
255422,강원도 속초시 소평로 162,59.905,1996,14,11,1499,부영3,19500,0,중개거래,202212
255423,강원도 속초시 소평로 162,84.88,1996,14,15,1499,부영3,19500,0,중개거래,202212
255424,강원도 속초시 청대로204번길 40,40,1995,7,3,1501,부영5,10000,0,중개거래,202212
255425,강원도 속초시 청대로204번길 40,50,1995,7,12,1501,부영5,14700,0,중개거래,202212
255426,강원도 속초시 조양로142번길 13,50,1995,15,2,1505,부영9,13000,0,중개거래,202212
255427,강원도 속초시 청대로 22-7,59.76,2001,1,4,1294,성호,13000,23,중개거래,202212
255428,강원도 속초시 청대로 22-7,59.76,2001,14,11,1294,성호,13500,23,중개거래,202212
255429,강원도 속초시 청대로 22-7,59.76,2001,29,13,1294,성호,14800,23,중개거래,202212
255430,강원도 속초시 청대로 40,84.9762,2019,1,7,1572,속초KCC스위첸,45900,0,중개거래,202212
255431,강원도 속초시 청대로 40,84.9762,2019,1,2,1572,속초KCC스위첸,43550,0,중개거래,202212
255432,강원도 속초시 청대로 40,84.9762,2019,1,12,1572,속초KCC스위첸,46400,0,중개거래,202212
255433,강원도 속초시 청대로 40,84.9762,2019,1,3,1572,속초KCC스위첸,44300,0,중개거래,202212
255434,강원도 속초시 청대로 40,84.9762,2019,1,18,1572,속초KCC스위첸,46400,0,중개거래,202212
255435,강원도 속초시 청대로 40,84.9762,2019,1,13,1572,속초KCC스위첸,46400,0,중개거래,202212
255436,강원도 속초시 청대로 40,84.9762,2019,1,9,1572,속초KCC스위첸,46000,0,중개거래,202212
255437,강원도 속초시 청대로 40,84.9762,2019,1,7,1572,속초KCC스위첸,45900,0,중개거래,202212
255438,강원도 속초시 청대로 40,59.9027,2019,6,17,1572,속초KCC스위첸,31000,0,중개거래,202212
255439,강원도 속초시 청대로 40,74.5213,2019,21,5,1572,속초KCC스위첸,36800,0,중개거래,202212
255440,강원도 속초시 동해대로 3958,96.25,2020,7,29,1459,속초서희스타힐스더베이,68000,0,중개거래,202212
255441,강원도 속초시 조양로 181,84.9974,2020,13,28,1586,속초자이,53500,0,중개거래,202212
255442,강원도 속초시 온정로1길 30,59.7891,2015,4,10,1569,속초조양양우내안애아파트,28000,0,중개거래,202212
255443,강원도 속초시 청대마을길 20,120.09,2006,1,12,1563,속초조양코아루,37000,0,직거래,202212
255444,강원도 속초시 논산길 17,84.288,2020,8,10,1585,조양동휴먼빌아파트,42000,0,중개거래,202212
255445,강원도 속초시 청대로 210,84.98,2019,4,9,1582,효성해링턴플레이스,40500,0,중개거래,202212
255446,강원도 속초시 번영로 40,59.675,1983,27,1,632,금강,8000,30,중개거래,202212
255447,강원도 양구군 양구읍 양록길23번길 11,59.4,1998,3,9,510,경림,11000,0,중개거래,202212
255448,강원도 양구군 양구읍 양록길23번길 11,37.755,1998,8,15,510,경림,7100,0,직거래,202212
255449,강원도 양구군 양구읍 양록길23번길 11,37.755,1998,22,11,510,경림,6950,0,직거래,202212
255450,강원도 양구군 양구읍 박수근로313번길 17,84.9,2010,13,9,436,양구석미모닝파크,16800,0,중개거래,202212
255451,강원도 양양군 강현면 정암1길 13-24,50.5365,2004,13,6,162,썬라이즈빌,27800,6,직거래,202212
255452,강원도 양양군 손양면 손중로 211-8,39.6,1998,1,15,303,삼호,7400,0,중개거래,202212
255453,강원도 양양군 양양읍 거마천로 300,25.45,1998,8,1,31,설악실크벨리,3350,1,중개거래,202212
255454,강원도 양양군 양양읍 거마천로 300,25.45,1998,8,4,31,설악실크벨리,3400,1,중개거래,202212
255455,강원도 양양군 양양읍 내곡길 18,84.6,2007,12,15,61,하이펠리스,18000,0,중개거래,202212
255456,강원도 양양군 양양읍 남대천로 99-14,59.449,2002,9,7,449,명지푸르미,10500,1,직거래,202212
