id,address,legal_code
1,서울특별시,1100000000
2,서울특별시 종로구,1111000000
3,서울특별시 종로구 청운동,1111010100
4,서울특별시 종로구 신교동,1111010200
5,서울특별시 종로구 궁정동,1111010300
6,서울특별시 종로구 효자동,1111010400
7,서울특별시 종로구 창성동,1111010500
8,서울특별시 종로구 통의동,1111010600
9,서울특별시 종로구 적선동,1111010700
10,서울특별시 종로구 통인동,1111010800
11,서울특별시 종로구 누상동,1111010900
12,서울특별시 종로구 누하동,1111011000
13,서울특별시 종로구 옥인동,1111011100
14,서울특별시 종로구 체부동,1111011200
15,서울특별시 종로구 필운동,1111011300
16,서울특별시 종로구 내자동,1111011400
17,서울특별시 종로구 사직동,1111011500
18,서울특별시 종로구 도렴동,1111011600
19,서울특별시 종로구 당주동,1111011700
20,서울특별시 종로구 내수동,1111011800
21,서울특별시 종로구 세종로,1111011900
22,서울특별시 종로구 신문로1가,1111012000
23,서울특별시 종로구 신문로2가,1111012100
24,서울특별시 종로구 청진동,1111012200
25,서울특별시 종로구 서린동,1111012300
26,서울특별시 종로구 수송동,1111012400
27,서울특별시 종로구 중학동,1111012500
28,서울특별시 종로구 종로1가,1111012600
29,서울특별시 종로구 공평동,1111012700
30,서울특별시 종로구 관훈동,1111012800
31,서울특별시 종로구 견지동,1111012900
32,서울특별시 종로구 와룡동,1111013000
33,서울특별시 종로구 권농동,1111013100
34,서울특별시 종로구 운니동,1111013200
35,서울특별시 종로구 익선동,1111013300
36,서울특별시 종로구 경운동,1111013400
37,서울특별시 종로구 관철동,1111013500
38,서울특별시 종로구 인사동,1111013600
39,서울특별시 종로구 낙원동,1111013700
40,서울특별시 종로구 종로2가,1111013800
41,서울특별시 종로구 팔판동,1111013900
42,서울특별시 종로구 삼청동,1111014000
43,서울특별시 종로구 안국동,1111014100
44,서울특별시 종로구 소격동,1111014200
45,서울특별시 종로구 화동,1111014300
46,서울특별시 종로구 사간동,1111014400
47,서울특별시 종로구 송현동,1111014500
48,서울특별시 종로구 가회동,1111014600
49,서울특별시 종로구 재동,1111014700
50,서울특별시 종로구 계동,1111014800
51,서울특별시 종로구 원서동,1111014900
52,서울특별시 종로구 훈정동,1111015000
53,서울특별시 종로구 묘동,1111015100
54,서울특별시 종로구 봉익동,1111015200
55,서울특별시 종로구 돈의동,1111015300
56,서울특별시 종로구 장사동,1111015400
57,서울특별시 종로구 관수동,1111015500
58,서울특별시 종로구 종로3가,1111015600
59,서울특별시 종로구 인의동,1111015700
60,서울특별시 종로구 예지동,1111015800
61,서울특별시 종로구 원남동,1111015900
62,서울특별시 종로구 연지동,1111016000
63,서울특별시 종로구 종로4가,1111016100
64,서울특별시 종로구 효제동,1111016200
65,서울특별시 종로구 종로5가,1111016300
66,서울특별시 종로구 종로6가,1111016400
67,서울특별시 종로구 이화동,1111016500
68,서울특별시 종로구 연건동,1111016600
69,서울특별시 종로구 충신동,1111016700
70,서울특별시 종로구 동숭동,1111016800
71,서울특별시 종로구 혜화동,1111016900
72,서울특별시 종로구 명륜1가,1111017000
73,서울특별시 종로구 명륜2가,1111017100
74,서울특별시 종로구 명륜4가,1111017200
75,서울특별시 종로구 명륜3가,1111017300
76,서울특별시 종로구 창신동,1111017400
77,서울특별시 종로구 숭인동,1111017500
78,서울특별시 종로구 교남동,1111017600
79,서울특별시 종로구 평동,1111017700
80,서울특별시 종로구 송월동,1111017800
81,서울특별시 종로구 홍파동,1111017900
82,서울특별시 종로구 교북동,1111018000
83,서울특별시 종로구 행촌동,1111018100
84,서울특별시 종로구 구기동,1111018200
85,서울특별시 종로구 평창동,1111018300
86,서울특별시 종로구 부암동,1111018400
87,서울특별시 종로구 홍지동,1111018500
88,서울특별시 종로구 신영동,1111018600
89,서울특별시 종로구 무악동,1111018700
90,서울특별시 중구,1114000000
91,서울특별시 중구 무교동,1114010100
92,서울특별시 중구 다동,1114010200
93,서울특별시 중구 태평로1가,1114010300
94,서울특별시 중구 을지로1가,1114010400
95,서울특별시 중구 을지로2가,1114010500
96,서울특별시 중구 남대문로1가,1114010600
97,서울특별시 중구 삼각동,1114010700
98,서울특별시 중구 수하동,1114010800
99,서울특별시 중구 장교동,1114010900
100,서울특별시 중구 수표동,1114011000
101,서울특별시 중구 소공동,1114011100
102,서울특별시 중구 남창동,1114011200
103,서울특별시 중구 북창동,1114011300
104,서울특별시 중구 태평로2가,1114011400
105,서울특별시 중구 남대문로2가,1114011500
106,서울특별시 중구 남대문로3가,1114011600
107,서울특별시 중구 남대문로4가,1114011700
108,서울특별시 중구 남대문로5가,1114011800
109,서울특별시 중구 봉래동1가,1114011900
110,서울특별시 중구 봉래동2가,1114012000
111,서울특별시 중구 회현동1가,1114012100
112,서울특별시 중구 회현동2가,1114012200
113,서울특별시 중구 회현동3가,1114012300
114,서울특별시 중구 충무로1가,1114012400
115,서울특별시 중구 충무로2가,1114012500
116,서울특별시 중구 명동1가,1114012600
117,서울특별시 중구 명동2가,1114012700
118,서울특별시 중구 남산동1가,1114012800
119,서울특별시 중구 남산동2가,1114012900
120,서울특별시 중구 남산동3가,1114013000
121,서울특별시 중구 저동1가,1114013100
122,서울특별시 중구 충무로4가,1114013200
123,서울특별시 중구 충무로5가,1114013300
124,서울특별시 중구 인현동2가,1114013400
125,서울특별시 중구 예관동,1114013500
126,서울특별시 중구 묵정동,1114013600
127,서울특별시 중구 필동1가,1114013700
128,서울특별시 중구 필동2가,1114013800
129,서울특별시 중구 필동3가,1114013900
130,서울특별시 중구 남학동,1114014000
131,서울특별시 중구 주자동,1114014100
132,서울특별시 중구 예장동,1114014200
133,서울특별시 중구 장충동1가,1114014300
134,서울특별시 중구 장충동2가,1114014400
135,서울특별시 중구 광희동1가,1114014500
136,서울특별시 중구 광희동2가,1114014600
137,서울특별시 중구 쌍림동,1114014700
138,서울특별시 중구 을지로6가,1114014800
139,서울특별시 중구 을지로7가,1114014900
140,서울특별시 중구 을지로4가,1114015000
141,서울특별시 중구 을지로5가,1114015100
142,서울특별시 중구 주교동,1114015200
143,서울특별시 중구 방산동,1114015300
144,서울특별시 중구 오장동,1114015400
145,서울특별시 중구 을지로3가,1114015500
146,서울특별시 중구 입정동,1114015600
147,서울특별시 중구 산림동,1114015700
148,서울특별시 중구 충무로3가,1114015800
149,서울특별시 중구 초동,1114015900
150,서울특별시 중구 인현동1가,1114016000
151,서울특별시 중구 저동2가,1114016100
152,서울특별시 중구 신당동,1114016200
153,서울특별시 중구 흥인동,1114016300
154,서울특별시 중구 무학동,1114016400
155,서울특별시 중구 황학동,1114016500
156,서울특별시 중구 서소문동,1114016600
157,서울특별시 중구 정동,1114016700
158,서울특별시 중구 순화동,1114016800
159,서울특별시 중구 의주로1가,1114016900
160,서울특별시 중구 충정로1가,1114017000
161,서울특별시 중구 중림동,1114017100
162,서울특별시 중구 의주로2가,1114017200
163,서울특별시 중구 만리동1가,1114017300
164,서울특별시 중구 만리동2가,1114017400
165,서울특별시 용산구,1117000000
166,서울특별시 용산구 후암동,1117010100
167,서울특별시 용산구 용산동2가,1117010200
168,서울특별시 용산구 용산동4가,1117010300
169,서울특별시 용산구 갈월동,1117010400
170,서울특별시 용산구 남영동,1117010500
171,서울특별시 용산구 용산동1가,1117010600
172,서울특별시 용산구 동자동,1117010700
173,서울특별시 용산구 서계동,1117010800
174,서울특별시 용산구 청파동1가,1117010900
175,서울특별시 용산구 청파동2가,1117011000
176,서울특별시 용산구 청파동3가,1117011100
177,서울특별시 용산구 원효로1가,1117011200
178,서울특별시 용산구 원효로2가,1117011300
179,서울특별시 용산구 신창동,1117011400
180,서울특별시 용산구 산천동,1117011500
181,서울특별시 용산구 청암동,1117011600
182,서울특별시 용산구 원효로3가,1117011700
183,서울특별시 용산구 원효로4가,1117011800
184,서울특별시 용산구 효창동,1117011900
185,서울특별시 용산구 도원동,1117012000
186,서울특별시 용산구 용문동,1117012100
187,서울특별시 용산구 문배동,1117012200
188,서울특별시 용산구 신계동,1117012300
189,서울특별시 용산구 한강로1가,1117012400
190,서울특별시 용산구 한강로2가,1117012500
191,서울특별시 용산구 용산동3가,1117012600
192,서울특별시 용산구 용산동5가,1117012700
193,서울특별시 용산구 한강로3가,1117012800
194,서울특별시 용산구 이촌동,1117012900
195,서울특별시 용산구 이태원동,1117013000
196,서울특별시 용산구 한남동,1117013100
197,서울특별시 용산구 동빙고동,1117013200
198,서울특별시 용산구 서빙고동,1117013300
199,서울특별시 용산구 주성동,1117013400
200,서울특별시 용산구 용산동6가,1117013500
201,서울특별시 용산구 보광동,1117013600
202,서울특별시 성동구,1120000000
203,서울특별시 성동구 상왕십리동,1120010100
204,서울특별시 성동구 하왕십리동,1120010200
205,서울특별시 성동구 홍익동,1120010300
206,서울특별시 성동구 도선동,1120010400
207,서울특별시 성동구 마장동,1120010500
208,서울특별시 성동구 사근동,1120010600
209,서울특별시 성동구 행당동,1120010700
210,서울특별시 성동구 응봉동,1120010800
211,서울특별시 성동구 금호동1가,1120010900
212,서울특별시 성동구 금호동2가,1120011000
213,서울특별시 성동구 금호동3가,1120011100
214,서울특별시 성동구 금호동4가,1120011200
215,서울특별시 성동구 옥수동,1120011300
216,서울특별시 성동구 성수동1가,1120011400
217,서울특별시 성동구 성수동2가,1120011500
218,서울특별시 성동구 송정동,1120011800
219,서울특별시 성동구 용답동,1120012200
220,서울특별시 광진구,1121500000
221,서울특별시 광진구 중곡동,1121510100
222,서울특별시 광진구 능동,1121510200
223,서울특별시 광진구 구의동,1121510300
224,서울특별시 광진구 광장동,1121510400
225,서울특별시 광진구 자양동,1121510500
226,서울특별시 광진구 화양동,1121510700
227,서울특별시 광진구 군자동,1121510900
228,서울특별시 동대문구,1123000000
229,서울특별시 동대문구 신설동,1123010100
230,서울특별시 동대문구 용두동,1123010200
231,서울특별시 동대문구 제기동,1123010300
232,서울특별시 동대문구 전농동,1123010400
233,서울특별시 동대문구 답십리동,1123010500
234,서울특별시 동대문구 장안동,1123010600
235,서울특별시 동대문구 청량리동,1123010700
236,서울특별시 동대문구 회기동,1123010800
237,서울특별시 동대문구 휘경동,1123010900
238,서울특별시 동대문구 이문동,1123011000
239,서울특별시 중랑구,1126000000
240,서울특별시 중랑구 면목동,1126010100
241,서울특별시 중랑구 상봉동,1126010200
242,서울특별시 중랑구 중화동,1126010300
243,서울특별시 중랑구 묵동,1126010400
244,서울특별시 중랑구 망우동,1126010500
245,서울특별시 중랑구 신내동,1126010600
246,서울특별시 성북구,1129000000
247,서울특별시 성북구 성북동,1129010100
248,서울특별시 성북구 성북동1가,1129010200
249,서울특별시 성북구 돈암동,1129010300
250,서울특별시 성북구 동소문동1가,1129010400
251,서울특별시 성북구 동소문동2가,1129010500
252,서울특별시 성북구 동소문동3가,1129010600
253,서울특별시 성북구 동소문동4가,1129010700
254,서울특별시 성북구 동소문동5가,1129010800
255,서울특별시 성북구 동소문동6가,1129010900
256,서울특별시 성북구 동소문동7가,1129011000
257,서울특별시 성북구 삼선동1가,1129011100
258,서울특별시 성북구 삼선동2가,1129011200
259,서울특별시 성북구 삼선동3가,1129011300
260,서울특별시 성북구 삼선동4가,1129011400
261,서울특별시 성북구 삼선동5가,1129011500
262,서울특별시 성북구 동선동1가,1129011600
263,서울특별시 성북구 동선동2가,1129011700
264,서울특별시 성북구 동선동3가,1129011800
265,서울특별시 성북구 동선동4가,1129011900
266,서울특별시 성북구 동선동5가,1129012000
267,서울특별시 성북구 안암동1가,1129012100
268,서울특별시 성북구 안암동2가,1129012200
269,서울특별시 성북구 안암동3가,1129012300
270,서울특별시 성북구 안암동4가,1129012400
271,서울특별시 성북구 안암동5가,1129012500
272,서울특별시 성북구 보문동4가,1129012600
273,서울특별시 성북구 보문동5가,1129012700
274,서울특별시 성북구 보문동6가,1129012800
275,서울특별시 성북구 보문동7가,1129012900
276,서울특별시 성북구 보문동1가,1129013000
277,서울특별시 성북구 보문동2가,1129013100
278,서울특별시 성북구 보문동3가,1129013200
279,서울특별시 성북구 정릉동,1129013300
280,서울특별시 성북구 길음동,1129013400
281,서울특별시 성북구 종암동,1129013500
282,서울특별시 성북구 하월곡동,1129013600
283,서울특별시 성북구 상월곡동,1129013700
284,서울특별시 성북구 장위동,1129013800
285,서울특별시 성북구 석관동,1129013900
286,서울특별시 강북구,1130500000
287,서울특별시 강북구 미아동,1130510100
288,서울특별시 강북구 번동,1130510200
289,서울특별시 강북구 수유동,1130510300
290,서울특별시 강북구 우이동,1130510400
291,서울특별시 도봉구,1132000000
292,서울특별시 도봉구 쌍문동,1132010500
293,서울특별시 도봉구 방학동,1132010600
294,서울특별시 도봉구 창동,1132010700
295,서울특별시 도봉구 도봉동,1132010800
296,서울특별시 노원구,1135000000
297,서울특별시 노원구 월계동,1135010200
298,서울특별시 노원구 공릉동,1135010300
299,서울특별시 노원구 하계동,1135010400
300,서울특별시 노원구 상계동,1135010500
301,서울특별시 노원구 중계동,1135010600
302,서울특별시 은평구,1138000000
303,서울특별시 은평구 수색동,1138010100
304,서울특별시 은평구 녹번동,1138010200
305,서울특별시 은평구 불광동,1138010300
306,서울특별시 은평구 갈현동,1138010400
307,서울특별시 은평구 구산동,1138010500
308,서울특별시 은평구 대조동,1138010600
309,서울특별시 은평구 응암동,1138010700
310,서울특별시 은평구 역촌동,1138010800
311,서울특별시 은평구 신사동,1138010900
312,서울특별시 은평구 증산동,1138011000
313,서울특별시 은평구 진관동,1138011400
314,서울특별시 서대문구,1141000000
315,서울특별시 서대문구 충정로2가,1141010100
316,서울특별시 서대문구 충정로3가,1141010200
317,서울특별시 서대문구 합동,1141010300
318,서울특별시 서대문구 미근동,1141010400
319,서울특별시 서대문구 냉천동,1141010500
320,서울특별시 서대문구 천연동,1141010600
321,서울특별시 서대문구 옥천동,1141010700
322,서울특별시 서대문구 영천동,1141010800
323,서울특별시 서대문구 현저동,1141010900
324,서울특별시 서대문구 북아현동,1141011000
325,서울특별시 서대문구 홍제동,1141011100
326,서울특별시 서대문구 대현동,1141011200
327,서울특별시 서대문구 대신동,1141011300
328,서울특별시 서대문구 신촌동,1141011400
329,서울특별시 서대문구 봉원동,1141011500
330,서울특별시 서대문구 창천동,1141011600
331,서울특별시 서대문구 연희동,1141011700
332,서울특별시 서대문구 홍은동,1141011800
333,서울특별시 서대문구 북가좌동,1141011900
334,서울특별시 서대문구 남가좌동,1141012000
335,서울특별시 마포구,1144000000
336,서울특별시 마포구 아현동,1144010100
