No,address,단지코드,법정동코드,건물명
1,강원도 강릉시 견소동 ,A21015002,4215011500,송정해변신도브래뉴
2,강원도 강릉시 견소동 ,A21015001,4215011500,한신휴플러스아파트
3,강원도 강릉시 교동 ,A21000303,4215011000,강릉교동롯데캐슬1단지
4,강원도 강릉시 교동 ,A21000302,4215011000,강릉롯데캐슬2단지아파트
5,강원도 강릉시 교동 ,A21010002,4215011000,교동1주공아파트
6,강원도 강릉시 교동 ,A21000301,4215011000,교동2주공아파트
7,강원도 강릉시 교동 ,A21092406,4215011000,교동2차현대아파트
8,강원도 강릉시 교동 ,A21010001,4215011000,교동e-편한세상
9,강원도 강릉시 교동 ,A21010004,4215011000,교동대림
10,강원도 강릉시 교동 ,A21010108,4215011000,교동주공3단지아파트
11,강원도 강릉시 교동 ,A21092001,4215011000,교동한신아파트
12,강원도 강릉시 교동 ,A21092403,4215011000,교동현대하이빌
13,강원도 강릉시 교동 ,A21010107,4215011000,부영1차아파트
14,강원도 강릉시 교동 ,A21010109,4215011000,부영2차아파트
15,강원도 강릉시 교동 ,A21010105,4215011000,부영3차아파트
16,강원도 강릉시 교동 ,A21010102,4215011000,부영5차아파트
17,강원도 강릉시 교동 ,A21092404,4215011000,부영6차아파트
18,강원도 강릉시 교동 ,A10026838,4215011000,풍림아이원 아파트
19,강원도 강릉시 남문동 ,A21002001,4215010200,남문삼익아파트
20,강원도 강릉시 내곡동 ,A21092502,4215011600,남산삼익
21,강원도 강릉시 내곡동 ,A21092703,4215011600,내곡주공
22,강원도 강릉시 내곡동 ,A21092705,4215011600,내곡한라
23,강원도 강릉시 내곡동 ,A21092704,4215011600,내곡현대
24,강원도 강릉시 내곡동 ,A21092501,4215011600,삼익타워맨션
25,강원도 강릉시 노암동 ,A21093203,4215012100,남산현대아파트
26,강원도 강릉시 노암동 ,A21093206,4215012100,노암3차한라아파트
27,강원도 강릉시 노암동 ,A21093104,4215012100,노암한라1차아파트
28,강원도 강릉시 노암동 ,A21093001,4215012100,노암현대아파트
29,강원도 강릉시 노암동 ,A21093205,4215012100,신화아파트
30,강원도 강릉시 노암동 ,A21070808,4215012100,양우내안애아파트
31,강원도 강릉시 송정동 ,A10025105,4215011400,강릉아이파크
32,강원도 강릉시 송정동 ,A21014002,4215011400,삼우은성아파트
33,강원도 강릉시 송정동 ,A10025591,4215011400,송정한신더휴아파트
34,강원도 강릉시 송정동 ,A21014001,4215011400,신도브래뉴로얄카운티아파트
35,강원도 강릉시 송정동 ,A10024767,4215011400,신원아침도시아파트
36,강원도 강릉시 연곡면 영진리,A10025128,4215037022,강릉영진코아루비치테라스
37,강원도 강릉시 연곡면 영진리,A21086102,4215037022,삼우그린
38,강원도 강릉시 연곡면 영진리,A21086101,4215037022,연곡1단지부영아파트
39,강원도 강릉시 연곡면 영진리,A21086103,4215037022,연곡2단지부영아파트
40,강원도 강릉시 연곡면 영진리,A21086104,4215037022,연곡3단지부영
41,강원도 강릉시 유천동 ,A10024127,4215013100,강릉유천 유승한내들더퍼스트
42,강원도 강릉시 유천동 ,A10024808,4215013100,더테라스아리스타
43,강원도 강릉시 유천동 ,A10025893,4215013100,엘에이치(LH)선수촌8단지
44,강원도 강릉시 입암동 ,A21025008,4215012500,강릉 금호어울림
45,강원도 강릉시 입암동 ,A21074103,4215012500,강릉 더샵
46,강원도 강릉시 입암동 ,A21074102,4215012500,강릉입암3주공아파트
47,강원도 강릉시 입암동 ,A10025303,4215012500,강변코아루오투리움
48,강원도 강릉시 입암동 ,A21093506,4215012500,대우이안아파트
49,강원도 강릉시 입암동 ,A21093701,4215012500,대인3차아파트
50,강원도 강릉시 입암동 ,A21074101,4215012500,에버그린아파트
51,강원도 강릉시 입암동 ,A21093804,4215012500,입암1주공아파트
52,강원도 강릉시 입암동 ,A21025002,4215012500,입암2주공아파트
53,강원도 강릉시 입암동 ,A21093605,4215012500,입암 4~5단지 아파트
54,강원도 강릉시 입암동 ,A21093809,4215012500,입암6주공아파트
55,강원도 강릉시 입암동 ,A21093507,4215012500,입암현대아파트
56,강원도 강릉시 입암동 ,A21025003,4215012500,태평양아파트
57,강원도 강릉시 저동 ,A21037001,4215013700,경포현대아파트
58,강원도 강릉시 주문진읍 교항리,A21080103,4215025022,교항2주공아파트
59,강원도 강릉시 주문진읍 교항리,A21080202,4215025022,극동아파트
60,강원도 강릉시 주문진읍 교항리,A21080001,4215025022,동방타워맨션
61,강원도 강릉시 주문진읍 교항리,A21080304,4215025022,우신그린피아
62,강원도 강릉시 주문진읍 교항리,A10024474,4215025022,주문진서희스타힐스아파트
63,강원도 강릉시 주문진읍 주문리,A10026753,4215025021,라일플로리스4차아파트
64,강원도 강릉시 주문진읍 주문리,A10024155,4215025021,주문진 삼부르네상스
65,강원도 강릉시 주문진읍 주문리,A10025691,4215025021,주문진 풍림아이원하버뷰
66,강원도 강릉시 지변동 ,A21032001,4215013200,덕원아파트
67,강원도 강릉시 초당동 ,A21074501,4215011200,아트피아임대아파트
68,강원도 강릉시 초당동 ,A21012004,4215011200,우성아파트
69,강원도 강릉시 초당동 ,A21012001,4215011200,유화3차아파트
70,강원도 강릉시 초당동 ,A21012002,4215011200,초당동부아파트
71,강원도 강릉시 초당동 ,A10024955,4215011200,초당유화1차아파트
72,강원도 강릉시 초당동 ,A21012003,4215011200,초당현대아파트
73,강원도 강릉시 포남동 ,A21011003,4215011100,강릉포남LH1단지
74,강원도 강릉시 포남동 ,A21011201,4215011100,대인4차아파트
75,강원도 강릉시 포남동 ,A21011001,4215011100,삼우골든아파트
76,강원도 강릉시 포남동 ,A21073703,4215011100,송정주공아파트
77,강원도 강릉시 포남동 ,A21073702,4215011100,일송아파트
78,강원도 강릉시 포남동 ,A21073701,4215011100,청송아파트
79,강원도 강릉시 포남동 ,A21011002,4215011100,포남1주공아파트
80,강원도 강릉시 포남동 ,A21093902,4215011100,포남2주공아파트
81,강원도 강릉시 홍제동 ,A10025924,4215010100,강릉유천LH미디어촌7단지아파트
82,강원도 강릉시 홍제동 ,A21094802,4215010100,강릉홍제푸르지오
83,강원도 강릉시 홍제동 ,A10025849,4215010100,미디어촌 LH5단지아파트
84,강원도 강릉시 홍제동 ,A10025845,4215010100,엘에이치(LH)미디어촌 6단지 아파트
85,강원도 강릉시 홍제동 ,A21001001,4215010100,우산아파트
86,강원도 강릉시 홍제동 ,A10027592,4215010100,유천우미린아파트
87,강원도 강릉시 홍제동 ,A10027945,4215010100,홍제한신휴플러스
88,강원도 강릉시 홍제동 ,A21094903,4215010100,홍제힐스테이트
89,강원도 강릉시 회산동 ,A10027224,4215011700,강릉서희스타힐스리버파크아파트
90,강원도 강릉시 회산동 ,A10025574,4215011700,강릉회산 한신더휴 아파트
91,강원도 강릉시 회산동 ,A21017001,4215011700,강릉회산LH
92,강원도 강릉시 회산동 ,A10027327,4215011700,강릉회산LH천년나무2단지
